id,word_1,word_2
Q1_1,formal,proper
Q1_2,huge,dumb
Q1_3,composer,writer
Q1_4,carry,bring
Q1_5,breathe,choke
Q1_6,create,build
Q1_7,situation,condition
Q1_8,hard,simple
Q1_9,absence,presence
Q1_10,can,okay
Q1_11,blur,ignorant
Q2_1,couple,pair
Q2_2,aggression,hostility
Q2_3,navy,army
Q2_4,abundance,plenty
Q2_5,old,new
Q2_6,army,squad
Q2_7,contemplate,think
Q2_8,recent,new
Q2_9,say,participate
Q2_10,pattern,behavior
Q2_11,mug,study
Q3_1,hard,difficult
Q3_2,reality,illusion
Q3_3,bring,restore
Q3_4,inexpensive,cheap
Q3_5,chemistry,theory
Q3_6,sly,strange
Q3_7,day,morning
Q3_8,endurance,band
Q3_9,word,dictionary
Q3_10,chop,reserve
Q3_11,hawker,peddler
Q4_1,unhappy,mad
Q4_2,large,big
Q4_3,kill,choke
Q4_4,chicken,steak
Q4_5,apple,sunshine
Q4_6,danger,disease
Q4_7,go,sell
Q4_8,communicate,pray
Q4_9,cab,bus
Q4_10,rubber,eraser
Q4_11,biscuit,cookie
Q5_1,nice,generous
Q5_2,greet,meet
Q5_3,dirty,narrow
Q5_4,container,mouse
Q5_5,leg,arm
Q5_6,bean,coffee
Q5_7,comfort,safety
Q5_8,milk,juice
Q5_9,friend,buddy
Q5_10,vest,singlet
Q5_11,keep,always
Q6_1,creator,maker
Q6_2,science,psychology
Q6_3,dumb,intelligent
Q6_4,corporation,business
Q6_5,great,awful
Q6_6,weird,normal
Q6_7,sharp,dull
Q6_8,overcome,dominate
Q6_9,book,text
Q6_10,letter,character
Q6_11,lift,elevator
Q7_1,modest,flexible
Q7_2,mouth,tooth
Q7_3,joy,pride
Q7_4,easy,difficult
Q7_5,leader,manager
Q7_6,rhythm,melody
Q7_7,receive,give
Q7_8,marijuana,herb
Q7_9,absorb,possess
Q7_10,bill,cheque
Q7_11,chips,fries
Q8_1,short,long
Q8_2,simple,easy
Q8_3,rat,mouse
Q8_4,think,decide
Q8_5,dollar,people
Q8_6,friend,guest
Q8_7,accept,believe
Q8_8,game,fun
Q8_9,boundary,border
Q8_10,trolley,cart
Q8_11,dummy,mannequin
Q9_1,tobacco,cigarette
Q9_2,street,alley
Q9_3,belief,impression
Q9_4,crowd,bunch
Q9_5,kill,hang
Q9_6,victory,triumph
Q9_7,cloud,storm
Q9_8,lawyer,banker
Q9_9,old,fresh
Q9_10,flat,apartment
Q9_11,boot,expel
Q10_1,god,spirit
Q10_2,guilty,ashamed
Q10_3,explain,prove
Q10_4,listen,hear
Q10_5,make,earn
Q10_6,accept,acknowledge
Q10_7,big,heavy
Q10_8,violent,angry
Q10_9,come,bring
Q10_10,rocket,vegetable
Q10_11,takeaway,pack
Q11_1,forget,learn
Q11_2,achieve,accomplish
Q11_3,winter,season
Q11_4,happy,young
Q11_5,attention,awareness
Q11_6,woman,wife
Q11_7,protect,defend
Q11_8,inform,notify
Q11_9,cherish,keep
Q11_10,leave,enter
Q11_11,football,rugby
